Date,Email
01-03-20,     9816.14
01-04-20,    15376.08
01-05-20,     12172.6
01-06-20,    10288.04
01-07-20,      5420.8
01-08-20,     7438.48
01-09-20,     9093.15
01-10-20,     6264.78
01-11-20,    13470.34
01-12-20,      8482.1
01-01-21,     10865.8
01-02-21,     14870.9
01-03-21,    17856.58
01-04-21,    20373.38
01-05-21,    25190.69
01-06-21,    25682.26
01-07-21,    20568.49
01-08-21,    49999.99
01-09-21,    16750.94
01-10-21,    15422.96
01-11-21,     8070.71
01-12-21,     6801.71
01-01-22,           0
